Match_No,Innings,match_date,Versus,mode_of_dismissal,Runs,Balls_faced
104,101,1996-02-21 00:00:00,West Indies,run out,70,91
105,102,1996-02-27 00:00:00,Australia,st I A Healy b M E Waugh,90,84
106,103,1996-03-02 00:00:00,Sri Lanka,run out,137,137
107,104,1996-03-06 00:00:00,Zimbabwe,b H H Streak,3,12
108,105,1996-03-09 00:00:00,Pakistan,b AtaUrRehman,31,59
109,106,1996-03-13 00:00:00,Sri Lanka,st R S Kaluwitharana b S T Jayasuriya,65,88
110,107,1996-04-03 00:00:00,Sri Lanka,c S T Jayasuriya b G P Wickramasinghe,28,31
111,108,1996-04-05 00:00:00,Pakistan,st Rashid Latif b Saqlain Mushtaq,100,111
112,109,1996-04-12 00:00:00,Pakistan,c Saeed Anwar b Aaqib Javed,1,5
113,110,1996-04-14 00:00:00,South Africa,c G Kirsten b P S De Villiers,2,15
114,111,1996-04-15 00:00:00,Pakistan,c Aamir Sohail b Waqar Younis,118,140
115,112,1996-04-17 00:00:00,South Africa,c G Kirsten b P S De Villiers,17,26
116,113,1996-04-19 00:00:00,South Africa,run out,57,71
117,114,1996-05-23 00:00:00,England,lbw b P J Martin,30,19
118,115,1996-05-25 00:00:00,England,run out,6,19
119,116,1996-05-26 00:00:00,England,c G A Hick b D G Cork,1,11
120,117,1996-08-28 00:00:00,Sri Lanka,run out,110,138
121,118,1996-09-01 00:00:00,Zimbabwe,c B C Strang b H H Streak,40,46
122,119,1996-09-06 00:00:00,Australia,c S R Waugh b G D McGrath,7,11
123,120,1996-09-16 00:00:00,Pakistan,not out,89,89
124,121,1996-09-17 00:00:00,Pakistan,c Wasim Akram b Azhar Mahmood,20,23
125,122,1996-09-18 00:00:00,Pakistan,c Aamir Sohail b Wasim Akram,2,13
126,123,1996-09-21 00:00:00,Pakistan,c Saleem Malik b Wasim Akram,3,9
127,124,1996-09-23 00:00:00,Pakistan,run out,23,44
128,125,1996-10-17 00:00:00,South Africa,c D J Cullinan b P S De Villiers,11,8
129,126,1996-10-21 00:00:00,Australia,lbw b S R Waugh,88,111
130,127,1996-10-23 00:00:00,South Africa,c G Kirsten b B M McMillan,64,93
131,128,1996-10-29 00:00:00,South Africa,lbw b A A Donald,28,38
132,129,1996-11-03 00:00:00,Australia,c S G Law b M E Waugh,62,60
133,130,1996-11-06 00:00:00,South Africa,c W J Cronje b N Boje,67,88
134,131,1996-12-14 00:00:00,South Africa,st G Kirsten b N Boje,114,126
135,132,1997-01-23 00:00:00,South Africa,b S M Pollock,0,4
136,133,1997-01-27 00:00:00,Zimbabwe,c A D R Campbell b E A Brandes,6,8
137,134,1997-02-02 00:00:00,South Africa,b A A Donald,1,14
138,135,1997-02-04 00:00:00,South Africa,c D J Cullinan b L Klusener,14,24
139,136,1997-02-07 00:00:00,Zimbabwe,c A C Waller b A D R Campbell,41,56
140,137,1997-02-09 00:00:00,Zimbabwe,c A D R Campbell b C N Evans,104,97
141,138,1997-02-12 00:00:00,South Africa,c J N Rhodes b L Klusener,32,27
142,139,1997-02-13 00:00:00,South Africa,c R E Bryson b W J Cronje,45,33
143,140,1997-02-15 00:00:00,Zimbabwe,c G W Flower b E A Brandes,13,15
144,141,1997-04-26 00:00:00,West Indies,c †C O Browne b C E L Ambrose,44,43
145,142,1997-04-27 00:00:00,West Indies,not out,65,70
146,143,1997-04-30 00:00:00,West Indies,b C A Walsh,9,15
147,144,1997-05-03 00:00:00,West Indies,c B C Lara b C A Walsh,1,11
148,145,1997-05-14 00:00:00,New Zealand,b N J Astle,117,137
149,146,1997-05-17 00:00:00,Sri Lanka,c H D P K Dharmasena b K S C de Silva,2,4
150,147,1997-05-21 00:00:00,Pakistan,c InzamamulHaq b Aaqib Javed,4,7
151,148,1997-07-18 00:00:00,Sri Lanka,b W P U J C Vaas,21,28
153,149,1997-07-24 00:00:00,Bangladesh,b Enamul Haque,28,21
154,150,1997-07-26 00:00:00,Sri Lanka,c R S Kalpage b M Muralitharan,53,67
155,151,1997-08-17 00:00:00,Sri Lanka,c M Muralitharan b W P U J C Vaas,27,28
156,152,1997-08-20 00:00:00,Sri Lanka,lbw b W P U J C Vaas,6,6
157,153,1997-08-23 00:00:00,Sri Lanka,c A Ranatunga b D K Liyanage,27,31
158,154,1997-08-24 00:00:00,Sri Lanka,c †S K L de Silva b K S C de Silva,39,32
159,155,1997-09-13 00:00:00,Pakistan,c Mohammad Akram b Azhar Mahmood,17,54
160,156,1997-09-14 00:00:00,Pakistan,not out,25,45
162,157,1997-09-18 00:00:00,Pakistan,c †Moin Khan b Mohammad Akram,0,10
163,158,1997-09-20 00:00:00,Pakistan,c †Moin Khan b Shahid Nazir,6,7
164,159,1997-09-21 00:00:00,Pakistan,lbw b Azhar Mahmood,51,64
165,160,1997-09-28 00:00:00,Pakistan,b Waqar Younis,2,11
166,161,1997-09-30 00:00:00,Pakistan,c †Moin Khan b Azhar Mahmood,21,18
167,162,1997-10-02 00:00:00,Pakistan,c InzamamulHaq b Aaqib Javed,7,11
168,163,1997-12-11 00:00:00,England,st A J Stewart b M V Fleming,91,87
169,164,1997-12-14 00:00:00,Pakistan,c InzamamulHaq b Manzoor Akhtar,3,4
170,165,1997-12-16 00:00:00,West Indies,run out,1,2
171,166,1997-12-22 00:00:00,Sri Lanka,not out,82,86
173,167,1997-12-28 00:00:00,Sri Lanka,c K S C de Silva b M Muralitharan,6,13
174,168,1998-01-10 00:00:00,Bangladesh,c & b Mohammad Rafique,54,76
175,169,1998-01-11 00:00:00,Pakistan,st Rashid Latif b Saqlain Mushtaq,67,44
176,170,1998-01-14 00:00:00,Pakistan,b Shahid Afridi,95,78
177,171,1998-01-16 00:00:00,Pakistan,b Azhar Mahmood,1,6
178,172,1998-01-18 00:00:00,Pakistan,c Azhar Mahmood b Shahid Afridi,41,26
179,173,1998-04-01 00:00:00,Australia,c R T Ponting b M S Kasprowicz,8,11
180,174,1998-04-05 00:00:00,Zimbabwe,run out,5,17
181,175,1998-04-07 00:00:00,Australia,c sub b S K Warne,100,89
182,176,1998-04-09 00:00:00,Zimbabwe,c †A Flower b M Mbangwa,1,2
183,177,1998-04-14 00:00:00,Australia,c †A C Gilchrist b D W Fleming,15,24
184,178,1998-04-17 00:00:00,New Zealand,c S B Doull b C Z Harris,40,41
185,179,1998-04-19 00:00:00,Australia,c †A C Gilchrist b D W Fleming,80,72
186,180,1998-04-20 00:00:00,New Zealand,run out,38,58
187,181,1998-04-22 00:00:00,Australia,c †A C Gilchrist b D W Fleming,143,131
188,182,1998-04-24 00:00:00,Australia,lbw b M S Kasprowicz,134,131
189,183,1998-05-25 00:00:00,Bangladesh,c Aminul Islam b Athar Ali Khan,33,29
190,184,1998-05-28 00:00:00,Kenya,c A Y A Karim b M A Suji,18,25
191,185,1998-05-31 00:00:00,Kenya,not out,100,103
192,186,1998-06-19 00:00:00,Sri Lanka,c M S Atapattu b M Muralitharan,65,50
193,187,1998-06-23 00:00:00,New Zealand,c & b C Z Harris,53,36
194,188,1998-07-01 00:00:00,Sri Lanka,c & b H D P K Dharmasena,17,16
196,189,1998-07-07 00:00:00,Sri Lanka,st R S Kaluwitharana b S T Jayasuriya,128,131
197,190,1998-09-20 00:00:00,Pakistan,c InzamamulHaq b Aamir Sohail,77,109
198,191,1998-09-26 00:00:00,Zimbabwe,not out,127,130
199,192,1998-09-27 00:00:00,Zimbabwe,c C B Wishart b M L Nkala,29,21
200,193,1998-09-30 00:00:00,Zimbabwe,c C N Evans b H H Streak,2,6
201,194,1998-10-28 00:00:00,Australia,run out,141,128
202,195,1998-10-31 00:00:00,West Indies,c C L Hooper b M V Dillon,8,14
203,196,1998-11-06 00:00:00,Sri Lanka,c †R S Kaluwitharana b W P U J C Vaas,3,6
204,197,1998-11-08 00:00:00,Zimbabwe,not out,118,112
205,198,1998-11-09 00:00:00,Sri Lanka,c M S Atapattu b G P Wickramasinghe,18,28
206,199,1998-11-11 00:00:00,Zimbabwe,c G W Flower b H K Olonga,11,12
207,200,1998-11-13 00:00:00,Zimbabwe,not out,124,92
208,201,1999-01-09 00:00:00,New Zealand,c C Z Harris b C L Cairns,0,5
209,202,1999-01-12 00:00:00,New Zealand,c B A Young b D J Nash,23,19
210,203,1999-01-14 00:00:00,New Zealand,st A C Parore b G R Larsen,45,42
211,204,1999-01-16 00:00:00,New Zealand,lbw b C L Cairns,5,12
212,205,1999-05-15 00:00:00,South Africa,c †M V Boucher b L Klusener,28,46
213,206,1999-05-23 00:00:00,Kenya,not out,140,101
214,207,1999-05-26 00:00:00,Sri Lanka,b S T Jayasuriya,2,3
215,208,1999-05-29 00:00:00,England,c G A Hick b M A Ealham,22,40
216,209,1999-06-04 00:00:00,Australia,c †A C Gilchrist b G D McGrath,0,4
217,210,1999-06-08 00:00:00,Pakistan,c Saqlain Mushtaq b Azhar Mahmood,45,65
218,211,1999-06-12 00:00:00,New Zealand,b D J Nash,16,22
219,212,1999-08-23 00:00:00,Australia,c D S Lehmann b T M Moody,14,33
220,213,1999-08-25 00:00:00,Sri Lanka,run out,37,58
221,214,1999-08-29 00:00:00,Sri Lanka,c M Muralitharan b D N T Zoysa,120,141
222,215,1999-09-04 00:00:00,Zimbabwe,c S V Carlisle b A R Whittall,85,72
223,216,1999-09-07 00:00:00,West Indies,c †R D Jacobs b C A Walsh,40,65
224,217,1999-09-08 00:00:00,West Indies,c H R Bryan b C A Walsh,0,6
225,218,1999-11-05 00:00:00,New Zealand,c C L Cairns b S B Styris,32,31
226,219,1999-11-08 00:00:00,New Zealand,not out,186,150
227,220,1999-11-11 00:00:00,New Zealand,c S P Fleming b C J Drum,1,23
228,221,1999-11-14 00:00:00,New Zealand,c C M Spearman b C J Drum,2,10
229,222,1999-11-17 00:00:00,New Zealand,c & b D L Vettori,0,3
230,223,2000-01-10 00:00:00,Pakistan,b Abdul Razzaq,13,26
231,224,2000-01-12 00:00:00,Australia,run out,12,11
232,225,2000-01-14 00:00:00,Australia,c †A C Gilchrist b G D McGrath,1,11
233,226,2000-01-21 00:00:00,Pakistan,b Abdul Razzaq,93,103
234,227,2000-01-25 00:00:00,Pakistan,c †Moin Khan b Abdul Razzaq,41,46
235,228,2000-01-26 00:00:00,Australia,c S C G MacGill b B Lee,18,28
236,229,2000-01-28 00:00:00,Pakistan,c †Moin Khan b Waqar Younis,17,14
237,230,2000-01-30 00:00:00,Australia,b D W Fleming,3,21
238,231,2000-03-09 00:00:00,South Africa,c H S Williams b M Hayward,26,25
239,232,2000-03-12 00:00:00,South Africa,c W J Cronje b S M Pollock,21,31
240,233,2000-03-15 00:00:00,South Africa,lbw b S M Pollock,12,28
241,234,2000-03-17 00:00:00,South Africa,c S Elworthy b J H Kallis,122,138
242,235,2000-03-19 00:00:00,South Africa,c S Elworthy b D N Crookes,93,89
243,236,2000-03-22 00:00:00,South Africa,b S M Pollock,5,8
244,237,2000-03-23 00:00:00,Pakistan,lbw b Shoaib Akhtar,11,28
245,238,2000-03-26 00:00:00,Pakistan,b Wasim Akram,10,18
246,239,2000-03-27 00:00:00,South Africa,run out,39,68
